"","weighted_mean.X1981_si.x_fbi_anom","weighted_mean.X1982_si.x_fbi_anom","weighted_mean.X1983_si.x_fbi_anom","weighted_mean.X1984_si.x_fbi_anom","weighted_mean.X1985_si.x_fbi_anom","weighted_mean.X1986_si.x_fbi_anom","weighted_mean.X1987_si.x_fbi_anom","weighted_mean.X1988_si.x_fbi_anom","weighted_mean.X1989_si.x_fbi_anom","weighted_mean.X1990_si.x_fbi_anom","weighted_mean.X1991_si.x_fbi_anom","weighted_mean.X1992_si.x_fbi_anom","weighted_mean.X1993_si.x_fbi_anom","weighted_mean.X1994_si.x_fbi_anom","weighted_mean.X1995_si.x_fbi_anom","weighted_mean.X1996_si.x_fbi_anom","weighted_mean.X1997_si.x_fbi_anom","weighted_mean.X1998_si.x_fbi_anom","weighted_mean.X1999_si.x_fbi_anom","weighted_mean.X2000_si.x_fbi_anom","weighted_mean.X2001_si.x_fbi_anom","weighted_mean.X2002_si.x_fbi_anom","weighted_mean.X2003_si.x_fbi_anom","weighted_mean.X2004_si.x_fbi_anom","weighted_mean.X2005_si.x_fbi_anom","weighted_mean.X2006_si.x_fbi_anom","weighted_mean.X2007_si.x_fbi_anom","weighted_mean.X2008_si.x_fbi_anom","weighted_mean.X2009_si.x_fbi_anom","weighted_mean.X2010_si.x_fbi_anom","weighted_mean.X2011_si.x_fbi_anom","weighted_mean.X2012_si.x_fbi_anom","weighted_mean.X2013_si.x_fbi_anom","weighted_mean.X2014_si.x_fbi_anom","weighted_mean.X2015_si.x_fbi_anom","weighted_mean.X2016_si.x_fbi_anom","weighted_mean.X2017_si.x_fbi_anom","weighted_mean.X2018_si.x_fbi_anom","weighted_mean.X2019_si.x_fbi_anom","weighted_mean.X2020_si.x_fbi_anom","weighted_mean.X2021_si.x_fbi_anom"
"Midewin National Tallgrass Prairie",-4.36809396743774,5.15335845947266,10.8513488769531,9.4865665435791,-6.99273252487183,-6.3438458442688,-1.76587510108948,3.77151203155518,3.60141205787659,-0.691221654415131,-4.30333805084229,7.76615476608276,5.22587919235229,-0.142571955919266,7.119713306427,10.9653577804565,9.79715919494629,-5.40955686569214,0.719103991985321,-3.63839817047119,-1.95999491214752,2.16607260704041,0.0941923558712006,-3.21790599822998,-5.28445720672607,-6.72968578338623,-2.44145250320435,3.94992065429688,1.67059659957886,-9.12346267700195,6.94733476638794,-25.4622707366943,5.99276781082153,6.71252965927124,1.34645128250122,-2.18759918212891,-9.25545692443848,6.91025161743164,5.95443105697632,10.4845676422119,-1.17404210567474
"Mark Twain National Forest",-2.58339595794678,4.81803798675537,16.4335708618164,13.6501455307007,2.77572989463806,-7.33267641067505,0.877423405647278,2.9671311378479,6.82834672927856,-3.56723976135254,-5.43259859085083,-1.88205230236053,13.4067764282227,5.16206407546997,-3.53481912612915,11.5100622177124,-1.64966690540314,1.41327655315399,-0.97024130821228,-9.11131858825684,3.7179160118103,4.75552797317505,3.85654735565186,0.295739382505417,-0.766617834568024,-4.51849746704102,-11.4894046783447,9.53823661804199,3.8386857509613,-0.990318477153778,0.159104272723198,-19.2552013397217,12.0657234191895,10.8179922103882,1.16590869426727,-4.85952711105347,-14.8953943252563,10.657886505127,3.58683395385742,-2.11600065231323,-1.91660976409912
"Columbia River Gorge National Scenic Area",1.6751834154129,14.2363052368164,-3.95628976821899,11.8149909973145,7.45106220245361,-0.92476761341095,-7.80329704284668,1.52595138549805,-3.02008390426636,-10.5374002456665,6.5705361366272,-20.7676029205322,4.78203630447388,-8.68547534942627,-0.795705914497375,1.73660945892334,2.92682790756226,-2.16516399383545,12.721776008606,3.60552597045898,5.24635553359985,9.14532566070557,-0.0486022420227528,-8.99561500549316,-5.45525074005127,1.47715759277344,-1.67482101917267,15.1407623291016,9.95126724243164,2.00178551673889,18.8465328216553,7.43822956085205,-2.8532190322876,-3.17689299583435,-22.0873222351074,-17.3951282501221,7.21691989898682,-1.22364544868469,0.565151810646057,0.436743527650833,0.804316878318787
"Uinta-Wasatch-Cache National Forest",0.0124330902472138,11.1295213699341,14.9266128540039,12.6011161804199,-2.53770899772644,-2.24324679374695,-6.18864822387695,0.937319099903107,-6.88509130477905,-3.08378195762634,11.0242719650269,-12.5897245407104,3.91979098320007,-6.38495588302612,11.0642223358154,1.5559366941452,-0.633229196071625,7.41603565216064,9.16109657287598,-6.49063777923584,-4.04241514205933,-0.0427620969712734,-1.18642449378967,-7.15637588500977,4.72138404846191,-5.22891807556152,-9.10684108734131,12.1949510574341,1.56476616859436,11.326605796814,14.7772903442383,-9.07641983032227,0.822403073310852,-1.10662579536438,-7.67278671264648,-1.94516503810883,-3.8570556640625,-4.59283924102783,6.38199424743652,-0.252661257982254,1.05214893817902
"George Washington and Jefferson National Forest",2.70873665809631,7.27175569534302,11.330322265625,11.8800201416016,-0.357153475284576,-3.39725065231323,10.0285015106201,4.39670896530151,2.62496519088745,-7.69169759750366,-3.00680136680603,6.34250259399414,8.6612663269043,3.10802030563354,-0.273566901683807,10.2775297164917,2.08283448219299,-1.36589515209198,1.55625629425049,-5.49718046188354,2.95205211639404,-2.27869176864624,1.0241938829422,4.23747825622559,1.53447699546814,-1.95139968395233,-2.38140392303467,2.25742840766907,3.419517993927,-2.16494870185852,0.694733917713165,-17.7646713256836,8.10061836242676,7.7229905128479,2.17494797706604,-2.71877241134644,-9.77050971984863,6.39379644393921,-0.955620944499969,-8.10554122924805,-2.3513662815094
"Kisatchie National Forest",5.05488681793213,3.73219585418701,5.45304155349731,9.37993335723877,7.10321521759033,-5.31802415847778,4.57372665405273,8.33266735076904,4.56105613708496,-14.4977855682373,0.899272859096527,-2.72568297386169,5.3428807258606,2.31136512756348,1.75089967250824,-1.19179582595825,1.92132437229156,0.705212235450745,-18.3835315704346,-7.49307584762573,0.112643226981163,4.44004058837891,11.415599822998,7.42580699920654,-3.92103266716003,1.46563100814819,4.81897068023682,2.52386975288391,-1.38927960395813,20.4506721496582,0.287517249584198,-8.8389835357666,-2.39420294761658,15.232102394104,15.5635709762573,-4.13696527481079,-19.9976825714111,-1.92439937591553,-2.83709406852722,-6.94808006286621,6.05753231048584
"El Yunque National Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Boone National Forest",3.82123136520386,3.69683265686035,12.3548259735107,13.3527994155884,3.69764351844788,-4.0064058303833,8.90046501159668,4.72556447982788,3.75782489776611,-12.7520122528076,-1.90554702281952,5.27843141555786,9.51524353027344,6.38897085189819,-1.8982914686203,13.89794921875,-3.66849040985107,-3.39773106575012,2.94812488555908,-8.97817707061768,2.8560106754303,1.62165999412537,-0.368155032396317,5.32296085357666,1.33693718910217,0.0578517355024815,-10.4889240264893,4.48998641967773,4.39046859741211,0.0426466576755047,-0.113468512892723,-18.7144947052002,10.7529525756836,7.95363569259644,3.12568283081055,-0.334338694810867,-10.3015365600586,1.69323480129242,1.10041832923889,-8.2670431137085,-2.97944164276123
"Malheur National Forest",5.01583862304688,10.0139436721802,3.80640506744385,17.5945053100586,0.177037939429283,0.819277048110962,-15.0902786254883,0.870534598827362,-1.906294465065,-5.96242666244507,16.5285758972168,-17.1314277648926,0.0232376884669065,-7.00703525543213,5.25174522399902,4.40044689178467,-5.19934272766113,6.26749897003174,12.187273979187,-0.891726553440094,-2.51832151412964,4.49852848052979,3.44505715370178,-6.43454170227051,1.91429758071899,-2.85532331466675,-7.11005401611328,9.56443500518799,1.70924174785614,14.799144744873,21.634880065918,-1.06434285640717,-3.9864935874939,-2.69935750961304,-10.5777635574341,-13.7524223327637,1.33263123035431,-6.90091180801392,-1.53964102268219,0.69084644317627,-0.347644597291946
"Siuslaw National Forest",-3.42738342285156,21.7592296600342,-12.2738523483276,-6.38385009765625,14.5822191238403,-13.3167400360107,-3.39810252189636,1.03623282909393,7.33464336395264,-2.70743012428284,-0.192048236727715,-26.6980361938477,3.4146032333374,-4.11041307449341,-12.9650592803955,-6.8052806854248,3.50734829902649,-8.58203601837158,14.3847494125366,2.65845823287964,5.96651792526245,8.08720397949219,-8.58892345428467,-10.1425123214722,-9.65731811523438,7.46936416625977,0.610459506511688,23.9159851074219,15.3911361694336,-8.63858699798584,20.4414043426514,16.2314071655273,4.28312540054321,-7.30959796905518,-27.8008918762207,-15.3868532180786,10.8799343109131,9.45332336425781,9.06425666809082,5.58806943893433,9.42963409423828
